Folio	Emisión	RUT Emisor	Emisor	Vencimiento	Sucursal	RUT Cliente	Cliente	Email	TimeStamp	Descripción	Monto Total
577306	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:56	Comision Giro de Dinero CL437962165	4515
577305	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:53	Comision Giro de Dinero CL437934965	2432
803711	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:58	Comision Giro de Dinero CL437956665	1000
803716	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:03	Comision Giro de Dinero CL437980165	1501
1063002	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:00	Comision Giro de Dinero CL437940565	1729
803714	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:02	Comision Giro de Dinero CL437977665	1501
803715	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:02	Comision Giro de Dinero CL437978365	1501
577312	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:01	Comision Giro de Dinero CL438007065	1501
1063011	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:07	Comision Giro de Dinero CL438032565	3069
577317	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:07	Comision Giro de Dinero CL438064765	1501
803720	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:09	Comision Giro de Dinero CL438013365	2311
803717	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:04	Comision Giro de Dinero CL437994565	34401
577315	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:04	Comision Giro de Dinero CL438037865	1501
1511255	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:06	Comision Giro de Dinero CL438052865	1501
803721	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:09	Comision Giro de Dinero CL437981165	3087
1063016	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:12	Comision Giro de Dinero CL438078065	4368
803741	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:20	Comision Giro de Dinero CL438169665	4246
803736	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:18	Comision Giro de Dinero CL438138765	1501
1213374	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:18	Comision Giro de Dinero CL438134265	4952
803744	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:21	Comision Giro de Dinero CL438169165	2027
1213377	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:23	Comision Giro de Dinero CL438225465	1501
1511256	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:28	Comision Giro de Dinero CL438273865	1501
1552989	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:28	Comision Giro de Dinero CL438282765	7499
1552985	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:41	Comision Giro de Dinero CL437825565	1501
1063039	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:32	Comision Giro de Dinero CL438271865	1501
1213384	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:30	Comision Giro de Dinero CL438298365	1501
