Tipo DTE	Folio	Emisión	RUT Emisor	Emisor	Vencimiento	Sucursal	RUT Cliente	Cliente	Email	TimeStamp	Descripción	Número OC	Número Pedido	Contrato	Monto Neto	Monto Exento	IVA	Monto Total	Contacto	Autorizado SII	Distribuido	Recibido	Cedido	Anulado
33	30	21-04-2017	76134934-1	Ria Chile Servicios Financieros SpA	21-04-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	21-04-2017 9:24:36	Comisión servicios recaudación Marzo2017				31933374	0	6067341	38000715		Si	Indefinido	Si	Indefinido	No
33	28	24-03-2017	76134934-1	Ria Chile Servicios Financieros SpA	24-03-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	24-03-2017 18:21:38	Comisión servicios recaudación Enero2017				23094863	0	4388024	27482887		Si	Indefinido	Si	Indefinido	No
33	29	24-03-2017	76134934-1	Ria Chile Servicios Financieros SpA	24-03-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	24-03-2017 20:50:38	Comisión servicios recaudación Febrero2017				26419370	0	5019680	31439050		Si	Indefinido	Si	Indefinido	No
33	23	27-01-2017	76134934-1	Ria Chile Servicios Financieros SpA	27-01-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	27-01-2017 9:45:04	Comisión servicios recaudaciónOctubre2016				19321281	0	3671043	22992324		Si	Indefinido	Si	Indefinido	No
33	25	27-01-2017	76134934-1	Ria Chile Servicios Financieros SpA	27-01-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	27-01-2017 10:26:04	Comisión servicios recaudaciónDiciembre2016				30810347	0	5853966	36664313		Si	Indefinido	Si	Indefinido	No
33	24	27-01-2017	76134934-1	Ria Chile Servicios Financieros SpA	27-01-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	27-01-2017 9:48:04	Comisión servicios recaudaciónOctubre2016				19321281	0	3671043	22992324		Si	Indefinido	Si	Indefinido	No
33	27	27-01-2017	76134934-1	Ria Chile Servicios Financieros SpA	27-01-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	27-01-2017 10:55:04	Comisión servicios recaudaciónOctubre2016				19321281	0	3671043	22992324		Si	Indefinido	Si	Indefinido	No
33	26	27-01-2017	76134934-1	Ria Chile Servicios Financieros SpA	27-01-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	27-01-2017 10:52:03	Comisión servicios recaudaciónDiciembre2016				30810347	0	5853966	36664313		Si	Indefinido	Si	Indefinido	No
33	22	24-01-2017	76134934-1	Ria Chile Servicios Financieros SpA	24-01-2017		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	24-01-2017 10:25:03	Comisión servicios recaudación Junio2016				9091203	0	1727329	10818532		Si	Indefinido	Si	Indefinido	No
33	21	30-12-2016	76134934-1	Ria Chile Servicios Financieros SpA	30-12-2016		76655110-6	Servicios de Recaudación Lider Limitada	vgarcia@riafinancial.com	01-12-2017 12:02	Comisión servicios recaudación Noviembre2016				20145968	0	3827734	23973702		Con reparos	Indefinido	Si	Indefinido	No
