Tipo DTE	Folio	Emisión	RUT Emisor	Emisor	Vencimiento	Sucursal	RUT Cliente	Cliente	Email	TimeStamp	Descripción	Número OC	Número Pedido	Contrato	Monto Neto	Monto Exento	IVA	Monto Total	Contacto	Autorizado SII	Distribuido	Recibido	Cedido	Anulado
61	790	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 15:16:25	Corrige Documento: 789553 Glosa:Comision Giro CL199346265				87786	0	16679	104465	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	793	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 15:30:25	Corrige Documento: 1043965 Glosa:Comision Giro CL69009565				122193	0	23217	145410	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	794	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 15:33:25	Corrige Documento: 1509866 Glosa:Comision Giro CL77527465				175540	0	33353	208893	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	807	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 16:35:15	Corrige Documento: 1041830 Glosa:Comision Giro CL2130010781				14200	0	2698	16898	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	786	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 13:44:16	Corrige Documento: 785101 Glosa:Comision Giro CL126156965				157880	0	29997	187877	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	787	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 13:55:27	Corrige Documento: 786109 Glosa:Comision Giro CL137894865				191517	0	36388	227905	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	789	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 14:59:14	Corrige Documento: 788487 Glosa:Comision Giro CL183513965				129588	0	24622	154210	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	791	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 15:22:14	Corrige Documento: 778890 Glosa:Comision Giro CL2140087381				123495	0	23464	146959	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	795	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 15:37:25	Corrige Documento: 782656 Glosa:Comision Giro CL92376865				96900	0	18411	115311	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
61	797	27-04-2017	76134934-1	RIA Chile Servicios Financieros SPA	27-04-2017		76134934-1	RIA Chile Servicios Financieros SPA	contabilidadchile@riafinancial.com	27-04-2017 15:45:14	Corrige Documento: 786975 Glosa:Comision Giro CL152815865				218653	0	41544	260197	RIA Chile Servicios Financieros SPA	Si	Indefinido	Si	Indefinido	No
